Student ID,Major,Standing,Grade,Prerequisites?,Letters
101,Computer Science,Junior,82,Y,B
105,Economics,Sophomore,95,Y,A
107,Computer Science,Junior,84,N,B
217,Social Science,Freshman,83,N,B
218,Computer Science,Senior,76,N,C
1005,Biology,Freshman,92,Y,A
1702,Chemistry,Junior,93,Y,A
1802,Physics,Senior,86,Y,B
2001,Medieval History,Freshman,68,N,D
4001,Art,Senior,74,N,C
501,Social Science,Senior,89,N,B
2449,Physics,Junior,87,Y,B
3530,Computer Science,Senior,95,N,A
14320,Economics,Senior,71,Y,C
23220,Art,Sophomore,65,Y,D
5244,Social Science,Senior,67,N,D
45069,Biology,Sophomore,91,N,A
99461,Art,Freshman,59,Y,F
96136,Economics,Freshman,96,Y,A
68854,Computer Science,Sophomore,73,Y,C
78746,Physics,Sophomore,62,Y,D
78046,Social Science,Sophomore,85,N,B
15670,Economics,Freshman,78,N,C
75496,Chemistry,Senior,93,N,A
