Berkeley,CMU,Columbia,Cornell,Duke,GaTech,MIT,Northwestern,NYU,PSU,RPI,Stanford,UCI,UCSB,UCSD,UIUC,Umich,UNC,Upenn,USC,UT Austin,UW,WUStL,Yale
33,40,21,18,18,39,34,13,22,32,18,35,32,23,15,15,30,23,11,13,12,18,12,15
25,32,5,14,,30,31,,,16,,22,29,,6,11,25,15,,,,15,,
12,28,,14,,25,27,,,13,,13,24,,,,22,13,,,,15,,
10,24,,7,,23,25,,,7,,12,24,,,,21,,,,,4,,
10,23,,6,,22,22,,,,,12,24,,,,14,,,,,,,
7,17,,6,,20,17,,,,,11,20,,,,14,,,,,,,
7,15,,3,,11,17,,,,,4,20,,,,,,,,,,,
,15,,,,11,13,,,,,,17,,,,,,,,,,,
,14,,,,6,10,,,,,,16,,,,,,,,,,,
,13,,,,,8,,,,,,10,,,,,,,,,,,
,10,,,,,8,,,,,,8,,,,,,,,,,,
,6,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,,5,,,,,,,,,,,
