Berkeley,Brown,Caltech,CMU,Cornell,Dartmouth,Gatech,Harvard,JHU,MIT,Northwestern,NYU,Princeton,PSU,Rice,RPI,Rugters,Stanford,U. of Chicago,U. of Wisconsin Madison,UCDavis,UCI,UCLA,UCSB,UCSC,UCSD,UIUC,Umich,UNC,Upenn,USC,UTAustin,Uva,UW,Vanderbilt,WUSTL
35,27,2,40,36,13,34,26,20,20,26,18,46,32,14,15,14,33,15,16,15,33,11,9,16,23,18,30,28,30,22,9,24,41,13,5
33,5,,34,13,8,32,25,,19,9,,19,26,10,3,8,31,,2,13,31,2,3,11,18,14,25,23,29,21,,19,34,11,
18,3,,31,11,,32,11,,15,8,,16,19,7,,,30,,,,25,1,1,,,7,21,23,17,20,,,28,10,
16,2,,28,,,28,,,10,2,,2,15,7,,,21,,,,22,,,,,,21,19,16,20,,,28,6,
8,1,,28,,,26,,,10,2,,1,7,4,,,10,,,,20,,,,,,19,15,12,16,,,11,6,
7,1,,28,,,25,,,10,,,,2,,,,2,,,,20,,,,,,9,13,5,13,,,10,,
7,,,27,,,24,,,8,,,,,,,,,,,,18,,,,,,7,13,1,11,,,10,,
7,,,25,,,24,,,8,,,,,,,,,,,,18,,,,,,7,11,,11,,,6,,
6,,,24,,,21,,,6,,,,,,,,,,,,14,,,,,,2,10,,10,,,,,
5,,,22,,,19,,,4,,,,,,,,,,,,14,,,,,,,10,,9,,,,,
3,,,21,,,19,,,4,,,,,,,,,,,,12,,,,,,,9,,5,,,,,
2,,,21,,,17,,,2,,,,,,,,,,,,10,,,,,,,8,,,,,,,
,,,20,,,14,,,2,,,,,,,,,,,,8,,,,,,,7,,,,,,,
,,,20,,,13,,,2,,,,,,,,,,,,6,,,,,,,5,,,,,,,
,,,18,,,11,,,2,,,,,,,,,,,,4,,,,,,,3,,,,,,,
,,,18,,,11,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,18,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
